# frase	esperado	textoEsperado (* = no comparar literal)	argumentoEsperado
molde traductor hola mundo	traducir	hola mundo	idioma=inglés
moto agente qué hora es	agente	qué hora es	
mudo tarea comprar pan	tarea	comprar pan	
modo tradutor como estás	traducir	como estás	idioma=inglés
moldo traducir quichua Buenos días	traducir	Buenos días	idioma=quichua
moda de invierno para damas	-		
modo de empleo del taladro	-		
todo agente tiene un jefe	-		
Notas de la reunión del equipo	-		
Correo recibido del rectorado	-		
Traductor de Google para portugués	-		
La tarea del agente es enviar un correo cuando termine	-		
Ayer me pidió traducir un documento y enviar un correo	-		
El informe explica cómo buscar en Google y resumir resultados	-		
Necesito revisar el correo que llegó ayer	-		
Quiero contar que envié por WhatsApp el mensaje	-		
El texto dice traduce esto, pero es una cita del manual	-		
Ayer me preguntaste si traducíamos el documento	-		
La guía explica que puedes abrir Safari desde el Finder	-		
Nos gustaría un resumen de la reunión, pero aún no lo pedimos	-		
Ayer creé un verso y después lo envié a Alberto por WhatsApp	-		
La redacción de un verso fue enviada por WhatsApp	-		
Haz un esfuerzo y después llama a Alberto	-		
El volumen de ventas subió al cincuenta por ciento	-		
La música de Julio Jaramillo sonó durante la reunión	-		
Grabamos la pantalla durante la capacitación de ayer	-		
La captura del informe está dentro del correo recibido	-		
Mi recordatorio de mañana ya fue completado	-		
El calendario institucional muestra una reunión a las diez	-		
WhatsApp a veces abre enlaces en el navegador	-		
Por favor traduce la vida es bella y luego envíalo por correo	plan	*	etapas=traducir+correo
Por favor, traduce esto, la vida es bella y después envíalo por correo electrónico	plan	*	etapas=traducir+correo
Quiero resumir y luego traducir al quichua lo siguiente: la vida es bella	plan	*	etapas=resumir+traducir
Quiero que mandes por WhatsApp adalberto, llego a las ocho	plan	*	etapas=whatsapp
Por favor redacta un correo: necesitamos revisar el contrato	plan	*	etapas=correo
Me ayudas a redactar un oficio: solicito la revisión del trámite	plan	*	etapas=oficio
Quiero que le preguntes al agente: cuáles son mis pendientes	plan	*	etapas=agente
modo traducir, modo buscar, restaurantes en Puyo	cadena	restaurantes en Puyo	etapas=traducir+buscar:google
modo resumir y modo traducir al portugués y enviar por whatsapp informe final	cadena	informe final	etapas=resumir+traducir+whatsapp
modo música busca Julio Jaramillo	musica	*	proveedor=auto
modo música pon una canción cualquiera de Julio Jaramillo	musica	*	proveedor=auto
